cell,d,k,sigma,N,encoding,cluster,r2_bb,r2_law,Lambda,depth_sel,terms_sel,law_top1_regret,law_top5_regret,law_spearman,bb_top1_regret,bb_top5_regret,bb_spearman
21,3,1,0.0,300,binary,d3_k1_s0.0,0.9999999929196718,1.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0
22,3,1,0.1,30,binary,d3_k1_s0.1,0.9880044420952371,0.992563222401195,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.9599880106607908
23,3,1,0.1,100,binary,d3_k1_s0.1,0.9872125379403779,0.9870138901475864,0.9997987791026177,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0
24,3,1,0.1,300,binary,d3_k1_s0.1,0.9897050517397116,0.9901871718537527,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0
25,3,1,0.3,30,binary,d3_k1_s0.3,0.7766767342997503,0.8118275526088058,1.0,1.0,3.0,1.0,1.0,0.9011470404773626,1.0,1.0,0.9190822532523941
26,3,1,0.3,100,binary,d3_k1_s0.3,0.9133515610385226,0.9148237556165709,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0
27,3,1,0.3,300,binary,d3_k1_s0.3,0.9023231142220534,0.9069651529604748,1.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.9599880106607908
28,3,2,0.0,30,integer,d3_k2_s0.0,0.9522704051331113,0.9493728648313595,0.9969572294947602,3.0,4.0,0.0,0.0,0.9954524972448895,0.0,0.0,0.9965779812058054
29,3,2,0.0,100,integer,d3_k2_s0.0,0.9980628023840965,0.9862494445335716,0.9881637129223672,2.0,4.0,0.08061267316282111,0.0,0.9950150173913712,0.0,0.0,0.9993526873320423
30,3,2,0.0,300,integer,d3_k2_s0.0,0.9993389261469898,0.9929667422316671,0.993623600813899,2.0,4.0,0.0,0.0,0.996343958549487,0.0,0.0,0.9996236510647187
31,3,2,0.1,30,integer,d3_k2_s0.1,0.9328570851225839,0.9344750258029542,1.0,1.0,4.0,0.0,0.0,0.9873477751064775,0.0,0.0,0.9942188153090572
32,3,2,0.1,100,integer,d3_k2_s0.1,0.9842288343202319,0.9780159316899601,0.993687542557557,2.0,4.0,0.0,0.0,0.9952938568865198,0.0,0.0,0.9982144521366475
33,3,2,0.1,300,integer,d3_k2_s0.1,0.9856982383682288,0.9824141732223086,0.9966682854670038,2.0,4.0,0.08061267316282111,0.0,0.9958648496657583,0.0,0.0,0.9990054037106467
34,3,2,0.3,30,integer,d3_k2_s0.3,0.8564453830194924,0.8131603484027543,0.9494596672771685,1.0,4.0,0.0,0.0,0.9807996411652603,0.0,0.0,0.9794048811350549
35,3,2,0.3,100,integer,d3_k2_s0.3,0.9007016645233625,0.8882228845964668,0.98614549032337,1.5,4.0,0.02637946919961389,0.02637946919961389,0.9870955631892112,0.0,0.0,0.9905820882284165
36,3,2,0.3,300,integer,d3_k2_s0.3,0.8858063122234976,0.8884018147950128,1.0,2.0,4.0,0.0,0.0,0.9965577292451625,0.0,0.0,0.9896229328701885
37,3,2,0.0,30,continuous,d3_k2_s0.0,0.9802055457521185,0.9497263401459818,0.9689052916113122,1.0,4.0,0.6055877790463051,0.035199070790631795,0.9589464309151932,0.0,0.0,0.9989820561378507
38,3,2,0.0,100,continuous,d3_k2_s0.0,0.9996911339817497,0.9993774447984788,0.9996862138988655,2.0,4.0,0.0,0.0,0.9996098100613128,0.0,0.0,0.9999383121144506
39,3,2,0.0,300,continuous,d3_k2_s0.0,0.9998686674445689,0.9997653548565769,0.9998966738419196,2.0,4.0,0.0,0.0,0.9997986237413983,0.0,0.0,0.9999542497140607
40,3,2,0.1,30,continuous,d3_k2_s0.1,0.9538584950651204,0.9623796528466639,1.0,1.0,4.0,0.035199070790631795,0.0,0.9855775973599834,0.035199070790631795,0.0,0.9918995743723398
41,3,2,0.1,100,continuous,d3_k2_s0.1,0.9856129147986655,0.9798475656037724,0.9941504934560736,2.0,4.0,0.0,0.0,0.9988099300620629,0.0,0.0,0.9984519903249394
42,3,2,0.1,300,continuous,d3_k2_s0.1,0.9888289635175349,0.9908715011968686,1.0,2.0,4.0,0.0,0.0,0.9996291226820166,0.0,0.0,0.9991206195038718
43,3,2,0.3,30,continuous,d3_k2_s0.3,0.8161943479814578,-373.9303340277695,0.0,1.0,4.0,0.0,0.0,0.9950544690904317,0.16116821293588343,0.07107379498552792,0.9290180563628523
44,3,2,0.3,100,continuous,d3_k2_s0.3,0.8966326945833274,0.8792680193040847,0.9806334573966075,1.0,4.0,0.0,0.0,0.9950915943224644,0.0,0.0,0.9928802055012843
45,3,2,0.3,300,continuous,d3_k2_s0.3,0.8904561755351625,0.9056491137628051,1.0,2.0,4.0,0.0,0.0,0.9990714941968387,0.0,0.0,0.9947426546415914
46,3,2,0.0,30,binary,d3_k2_s0.0,0.9987374417352739,0.9916710722094387,0.9929246974925086,2.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0
47,3,2,0.0,100,binary,d3_k2_s0.0,0.9999999469052467,1.0,1.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0
48,3,2,0.0,300,binary,d3_k2_s0.0,0.9999999876189087,1.0,1.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0
49,3,2,0.1,30,binary,d3_k2_s0.1,0.9833129492892089,0.9689980705643625,0.9854421944354603,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0
50,3,2,0.1,100,binary,d3_k2_s0.1,0.9902923556891852,0.9906882564875134,1.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0
51,3,2,0.1,300,binary,d3_k2_s0.1,0.9897978528904274,0.9900094197677135,1.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0
52,3,2,0.3,30,binary,d3_k2_s0.3,0.8651537253193816,0.8252270530291401,0.9538501989626155,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0
53,3,2,0.3,100,binary,d3_k2_s0.3,0.9159486333596153,0.9106414255530253,0.9942057800914843,1.5,3.5,0.0,0.0,1.0,0.0,0.0,1.0
54,3,2,0.3,300,binary,d3_k2_s0.3,0.9040799689074432,0.9082260345336383,1.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0
55,3,3,0.0,30,integer,d3_k3_s0.0,0.936883194280275,0.8945570243729961,0.9548223618849366,3.0,4.0,0.0,0.0,0.9950737105736049,0.0,0.0,0.9974195626814121
56,3,3,0.0,100,integer,d3_k3_s0.0,0.999494797273888,0.9829995844486887,0.9834964495361158,2.0,4.0,0.0,0.0,0.996019739661046,0.0,0.0,0.9998312336613089
57,3,3,0.0,300,integer,d3_k3_s0.0,0.9998396421218807,0.9879821566945423,0.9881406128264986,2.0,4.0,0.0,0.0,0.9960024879908687,0.0,0.0,0.9998903018798508
58,3,3,0.1,30,integer,d3_k3_s0.1,0.9757913890134998,0.9292145309026283,0.9522676069544336,1.0,4.0,0.18816663580136855,0.0,0.9717430768766302,0.0,0.0,0.9919586589976742
59,3,3,0.1,100,integer,d3_k3_s0.1,0.9909068510301301,0.9800382385095147,0.9890316506447436,2.0,4.0,0.0,0.0,0.9957444630108252,0.0,0.0,0.9989227082046881
60,3,3,0.1,300,integer,d3_k3_s0.1,0.9884679533079216,0.9768172647187086,0.9882133876467883,1.5,4.0,0.0,0.0,0.996745434917418,0.0,0.0,0.9981045664983442
61,3,3,0.3,30,integer,d3_k3_s0.3,0.836178723061791,0.8285171127274323,0.9908373531602137,1.0,4.0,0.18940000697946335,0.0,0.9649129156316446,0.09372923128927443,0.0,0.9838803769189906
62,3,3,0.3,100,integer,d3_k3_s0.3,0.8516258248509969,0.8814012289912483,1.0,1.0,4.0,0.0,0.0,0.9827477672682187,0.0,0.0,0.9927488604990571
63,3,3,0.3,300,integer,d3_k3_s0.3,0.9026289681479507,0.8982790258458012,0.9951808080001301,1.0,4.0,0.0,0.0,0.9937029528671244,0.0,0.0,0.9948509390065327
64,3,3,0.0,30,continuous,d3_k3_s0.0,0.9888532335412039,0.9799707969926511,0.9910174369185771,2.0,4.0,0.0,0.0,0.992898018112613,0.0,0.0,0.9967236045225282
65,3,3,0.0,100,continuous,d3_k3_s0.0,0.9988100882564196,0.9908215898994718,0.9920019847107342,1.0,4.0,0.0,0.0,0.9958069112931955,0.0,0.0,0.9999293120582002
66,3,3,0.0,300,continuous,d3_k3_s0.0,0.9996816900095514,0.9899836795776816,0.9902989016115948,1.0,4.0,0.0,0.0,0.9951440946505916,0.0,0.0,0.9999208745054655
67,3,3,0.1,30,continuous,d3_k3_s0.1,0.9833709652306407,0.9731180432271728,0.9895736986691861,1.0,4.0,0.0,0.0,0.9910276939230869,0.04226919668025088,0.0,0.9910305064406651
68,3,3,0.1,100,continuous,d3_k3_s0.1,0.9847483081942776,0.9794742013124201,0.9946442082327326,1.0,4.0,0.0,0.0,0.9960512253201582,0.0,0.0,0.9976911105694409
69,3,3,0.1,300,continuous,d3_k3_s0.1,0.9890652283335069,0.9809198618932227,0.9917645811348474,1.0,4.0,0.0,0.0,0.9953449084056775,0.0,0.0,0.9983248645304033
70,3,3,0.3,30,continuous,d3_k3_s0.3,0.6014498993490915,0.7727787196414966,1.0,1.0,4.0,0.0,0.0,0.992503140644629,0.052864293982343255,0.0,0.9891866199163745
71,3,3,0.3,100,continuous,d3_k3_s0.3,0.9180420571165036,0.9252380252800354,1.0,1.0,4.0,0.0,0.0,0.9958738492115575,0.04565434320398752,0.0,0.9944085275532972
72,3,3,0.3,300,continuous,d3_k3_s0.3,0.9021678400222183,0.9088236491782723,1.0,1.0,4.0,0.0,0.0,0.9954320964506027,0.0,0.0,0.9955404721279507
