family,d_nom,d_eff,rep,r2_law
additive,9,3,0,0.8184626027480654
additive,9,3,1,0.8698632286668968
additive,9,3,2,0.8481802774739243
additive,9,3,3,0.8476255582846506
additive,9,3,4,0.8687714849117232
additive,9,3,5,0.8485389997734243
additive,9,3,6,0.8413536138821082
additive,9,3,7,0.8541921381910708
additive,9,3,8,0.8780710035756606
additive,9,3,9,0.8129271480823764
additive,9,3,10,0.8109079042009026
additive,9,3,11,0.7995310426740092
additive,9,3,12,0.8606826873787919
additive,9,3,13,0.8176917412367193
additive,9,3,14,0.8584655931944728
additive,9,3,15,0.8668201121482311
additive,9,3,16,0.8748824853324956
additive,9,3,17,0.789356612846325
additive,9,3,18,0.848800288021456
additive,9,3,19,0.833656816158473
additive,9,5,0,0.7449174210341192
additive,9,5,1,0.7962749376743334
additive,9,5,2,0.7678376592587175
additive,9,5,3,0.7265459598471626
additive,9,5,4,0.6873220915835924
additive,9,5,5,0.7556995061231065
additive,9,5,6,0.7195311003860283
additive,9,5,7,0.7419817537664284
additive,9,5,8,0.7372319963808545
additive,9,5,9,0.7484143807903586
additive,9,5,10,0.7687562019797413
additive,9,5,11,0.7587202356655526
additive,9,5,12,0.7211318391303868
additive,9,5,13,0.7582424329482755
additive,9,5,14,0.7052179607366873
additive,9,5,15,0.7644005266369034
additive,9,5,16,0.8387297116675835
additive,9,5,17,0.7787132606715611
additive,9,5,18,0.7845764737308697
additive,9,5,19,0.7347557283259782
additive,9,9,0,0.6219262612672705
additive,9,9,1,0.5353325718914178
additive,9,9,2,0.6308454056012118
additive,9,9,3,0.588395150899276
additive,9,9,4,0.4627562461652067
additive,9,9,5,0.5226438264743515
additive,9,9,6,0.5415239127497669
additive,9,9,7,0.6363245123347336
additive,9,9,8,0.5386617685502467
additive,9,9,9,0.6033978157813785
additive,9,9,10,0.5576262231621345
additive,9,9,11,0.5726007066291607
additive,9,9,12,0.5841238882175679
additive,9,9,13,0.5259564993587387
additive,9,9,14,0.6394466190476418
additive,9,9,15,0.516447451078819
additive,9,9,16,0.5762258802728615
additive,9,9,17,0.6070980166334123
additive,9,9,18,0.509752354630937
additive,9,9,19,0.47584354707798726
additive,20,3,0,0.8573236732535704
additive,20,3,1,0.7749148620367174
additive,20,3,2,0.8709756026942801
additive,20,3,3,0.8500765487615668
additive,20,3,4,0.8268935364601375
additive,20,3,5,0.8134143058140766
additive,20,3,6,0.8405285189880982
additive,20,3,7,0.8651332834648544
additive,20,3,8,0.8337173965934369
additive,20,3,9,0.8625194423459226
additive,20,3,10,0.80641368738369
additive,20,3,11,0.8548928276810461
additive,20,3,12,0.8175960001927304
additive,20,3,13,0.8515431458766329
additive,20,3,14,0.850760020402735
additive,20,3,15,0.7906834539640681
additive,20,3,16,0.7878469145025752
additive,20,3,17,0.8317446467541709
additive,20,3,18,0.8581638429243121
additive,20,3,19,0.8269990068155978
additive,20,5,0,0.7754602471630839
additive,20,5,1,0.7475021380124037
additive,20,5,2,0.7603206187368017
additive,20,5,3,0.7052550984384693
additive,20,5,4,0.7955369724059891
additive,20,5,5,0.7489600970672894
additive,20,5,6,0.7427220096773282
additive,20,5,7,0.765721250951521
additive,20,5,8,0.7759260660239238
additive,20,5,9,0.8064268938565935
additive,20,5,10,0.7403068275045398
additive,20,5,11,0.7360441225676739
additive,20,5,12,0.7622967837050335
additive,20,5,13,0.8017385005854617
additive,20,5,14,0.759855674228986
additive,20,5,15,0.7395829896771196
additive,20,5,16,0.7319166295261101
additive,20,5,17,0.7435311397492799
additive,20,5,18,0.740380908545453
additive,20,5,19,0.7315805657764887
additive,20,9,0,0.5658657849215475
additive,20,9,1,0.532678164919467
additive,20,9,2,0.48964445483327457
additive,20,9,3,0.5326189909557562
additive,20,9,4,0.6038993187278796
additive,20,9,5,0.5294221313738698
additive,20,9,6,0.5776665855883383
additive,20,9,7,0.5657815954628526
additive,20,9,8,0.5433637504042736
additive,20,9,9,0.5651618624683269
additive,20,9,10,0.6056268146073043
additive,20,9,11,0.49659165373861724
additive,20,9,12,0.5440527294813982
additive,20,9,13,0.5869216298741069
additive,20,9,14,0.5685402108891615
additive,20,9,15,0.5839565769075636
additive,20,9,16,0.5610262336391552
additive,20,9,17,0.5050979077239994
additive,20,9,18,0.587661032535151
additive,20,9,19,0.5774220178766987
additive,67,3,0,0.8736052048163344
additive,67,3,1,0.8716849906837234
additive,67,3,2,0.8616238901662032
additive,67,3,3,0.8579174394228227
additive,67,3,4,0.8618095840521881
additive,67,3,5,0.8609242728700397
additive,67,3,6,0.8683719788733987
additive,67,3,7,0.8167131899717623
additive,67,3,8,0.8472400992146464
additive,67,3,9,0.8474930387899646
additive,67,3,10,0.8571135693015444
additive,67,3,11,0.8081522550676807
additive,67,3,12,0.8383233730351131
additive,67,3,13,0.8715856394808114
additive,67,3,14,0.8662877793045878
additive,67,3,15,0.8560156516921238
additive,67,3,16,0.8593864668394222
additive,67,3,17,0.8314707721858599
additive,67,3,18,0.8621978378108246
additive,67,3,19,0.8550867138532556
additive,67,5,0,0.6697295643459527
additive,67,5,1,0.7423092866580719
additive,67,5,2,0.7071622517008775
additive,67,5,3,0.7530461317202208
additive,67,5,4,0.731447825526145
additive,67,5,5,0.7744278639467438
additive,67,5,6,0.7209479862095922
additive,67,5,7,0.7457780057520993
additive,67,5,8,0.7540895216100568
additive,67,5,9,0.781500004531567
additive,67,5,10,0.7296827100414244
additive,67,5,11,0.7169452464082949
additive,67,5,12,0.786672268657261
additive,67,5,13,0.7501988567011708
additive,67,5,14,0.7410732678330636
additive,67,5,15,0.7272493944191731
additive,67,5,16,0.6934556644438035
additive,67,5,17,0.7607678951978931
additive,67,5,18,0.7205333013036254
additive,67,5,19,0.7161637088464438
additive,67,9,0,0.5271088931499872
additive,67,9,1,0.5823217973219876
additive,67,9,2,0.5581457018464293
additive,67,9,3,0.5481356174270539
additive,67,9,4,0.5965613119874327
additive,67,9,5,0.6477105148716287
additive,67,9,6,0.5777079549686321
additive,67,9,7,0.5723544593324621
additive,67,9,8,0.6275994670471039
additive,67,9,9,0.5699460111305455
additive,67,9,10,0.5939827638373161
additive,67,9,11,0.5500554048648971
additive,67,9,12,0.6014067320937708
additive,67,9,13,0.5798818088000465
additive,67,9,14,0.6020407453407026
additive,67,9,15,0.6119713469390082
additive,67,9,16,0.5913762954796382
additive,67,9,17,0.5973412838779215
additive,67,9,18,0.5774516593150066
additive,67,9,19,0.5902848189615688
michaelis_menten,9,3,0,0.7319191000841783
michaelis_menten,9,3,1,0.7709414264069716
michaelis_menten,9,3,2,0.7453022554418998
michaelis_menten,9,3,3,0.7615169531707814
michaelis_menten,9,3,4,0.6394000300477061
michaelis_menten,9,3,5,0.833749932631316
michaelis_menten,9,3,6,0.8141968062406603
michaelis_menten,9,3,7,0.7606881016860132
michaelis_menten,9,3,8,0.8098775855288756
michaelis_menten,9,3,9,0.8119171817048163
michaelis_menten,9,3,10,0.7413098924979603
michaelis_menten,9,3,11,0.7673570010363236
michaelis_menten,9,3,12,0.5677535684953237
michaelis_menten,9,3,13,0.7622613055503125
michaelis_menten,9,3,14,0.7412566755512726
michaelis_menten,9,3,15,0.7485034609981631
michaelis_menten,9,3,16,0.7446634776773969
michaelis_menten,9,3,17,0.7819141247695215
michaelis_menten,9,3,18,0.8118632694978241
michaelis_menten,9,3,19,0.8663656264969781
michaelis_menten,9,5,0,0.7036493211634348
michaelis_menten,9,5,1,0.7383595336502755
michaelis_menten,9,5,2,0.729193203537539
michaelis_menten,9,5,3,0.7181204250995035
michaelis_menten,9,5,4,0.7441811473742832
michaelis_menten,9,5,5,0.7215069744540279
michaelis_menten,9,5,6,0.7381547655316794
michaelis_menten,9,5,7,0.7151040794399068
michaelis_menten,9,5,8,0.748656881730134
michaelis_menten,9,5,9,0.7393492217077761
michaelis_menten,9,5,10,0.6886334359538853
michaelis_menten,9,5,11,0.7320382847921666
michaelis_menten,9,5,12,0.739948910648524
michaelis_menten,9,5,13,0.6759146704846221
michaelis_menten,9,5,14,0.704022123231206
michaelis_menten,9,5,15,0.7062365910594213
michaelis_menten,9,5,16,0.6917840083883642
michaelis_menten,9,5,17,0.6542114456149309
michaelis_menten,9,5,18,0.6861496798867506
michaelis_menten,9,5,19,0.7271633831990925
michaelis_menten,9,9,0,0.5182407340643193
michaelis_menten,9,9,1,0.546077668040545
michaelis_menten,9,9,2,0.5366965441644955
michaelis_menten,9,9,3,0.5662764378648584
michaelis_menten,9,9,4,0.6074974628975213
michaelis_menten,9,9,5,0.578608700726835
michaelis_menten,9,9,6,0.5700378220530867
michaelis_menten,9,9,7,0.5378607421396343
michaelis_menten,9,9,8,0.5555829429933412
michaelis_menten,9,9,9,0.48840897225695157
michaelis_menten,9,9,10,0.5334882666767329
michaelis_menten,9,9,11,0.49067222089447204
michaelis_menten,9,9,12,0.6419836134947213
michaelis_menten,9,9,13,0.5152757179768335
michaelis_menten,9,9,14,0.5031464841218635
michaelis_menten,9,9,15,0.5905887686429474
michaelis_menten,9,9,16,0.5877198523653266
michaelis_menten,9,9,17,0.5753151855591734
michaelis_menten,9,9,18,0.6202164896807743
michaelis_menten,9,9,19,0.4803707342188389
michaelis_menten,20,3,0,0.7709221721633772
michaelis_menten,20,3,1,0.7999254137661393
michaelis_menten,20,3,2,0.8013702274907687
michaelis_menten,20,3,3,0.7427099813008056
michaelis_menten,20,3,4,0.7673629736508889
michaelis_menten,20,3,5,0.7300973547451426
michaelis_menten,20,3,6,0.8090860693148415
michaelis_menten,20,3,7,0.811606709389029
michaelis_menten,20,3,8,0.7719632754937544
michaelis_menten,20,3,9,0.7688962532379238
michaelis_menten,20,3,10,0.7800474447382277
michaelis_menten,20,3,11,0.8093642178898066
michaelis_menten,20,3,12,0.8074205677343114
michaelis_menten,20,3,13,0.800939211233045
michaelis_menten,20,3,14,0.8095737190819008
michaelis_menten,20,3,15,0.8415739909415938
michaelis_menten,20,3,16,0.8572646578808969
michaelis_menten,20,3,17,0.8315032535304743
michaelis_menten,20,3,18,0.7931331580355809
michaelis_menten,20,3,19,0.786799085146105
michaelis_menten,20,5,0,0.644120521942876
michaelis_menten,20,5,1,0.7057479891774132
michaelis_menten,20,5,2,0.7266668454894871
michaelis_menten,20,5,3,0.709221077793083
michaelis_menten,20,5,4,0.7183566427288085
michaelis_menten,20,5,5,0.7132527969322036
michaelis_menten,20,5,6,0.7122734424227894
michaelis_menten,20,5,7,0.7423133713016422
michaelis_menten,20,5,8,0.6822491254578951
michaelis_menten,20,5,9,0.6645180700176552
michaelis_menten,20,5,10,0.7051331592693939
michaelis_menten,20,5,11,0.6859021137498121
michaelis_menten,20,5,12,0.7192918107136016
michaelis_menten,20,5,13,0.6993466286964283
michaelis_menten,20,5,14,0.7365227444708217
michaelis_menten,20,5,15,0.7279657910052597
michaelis_menten,20,5,16,0.7379387639994706
michaelis_menten,20,5,17,0.7043338797124473
michaelis_menten,20,5,18,0.6645206503198772
michaelis_menten,20,5,19,0.7222017095844622
michaelis_menten,20,9,0,0.47076892465645215
michaelis_menten,20,9,1,0.495880996907616
michaelis_menten,20,9,2,0.5612499910301983
michaelis_menten,20,9,3,0.5453278072399587
michaelis_menten,20,9,4,0.535231751843109
michaelis_menten,20,9,5,0.5240186242851194
michaelis_menten,20,9,6,0.5677980716283709
michaelis_menten,20,9,7,0.5660861675650385
michaelis_menten,20,9,8,0.6039887108340909
michaelis_menten,20,9,9,0.600716489758673
michaelis_menten,20,9,10,0.5355069641478711
