N,seed,law_top1,bb_top1,law_ov,bb_ov
50,0,0.0019089149903666039,0.25699328459930554,66,21
50,1,0.09854006679466458,0.4684247194985784,10,0
50,2,0.2573493430268395,0.4741716284387982,5,9
50,3,0.022663541681605424,0.20470032767509708,28,23
50,4,0.5745343298855471,0.4384622793256746,3,0
50,5,0.7067296874425776,0.045177659826448884,2,10
50,6,0.3042033604913266,0.2870204929610997,0,2
50,7,0.0019973785359983154,0.0902429260088239,45,17
50,8,0.0019089149903666039,0.3075591081162257,23,0
50,9,0.25698486740225635,0.44185837618797114,0,0
50,10,0.0019089149903666039,0.534456213899212,41,0
50,11,0.0019089149903666039,0.0019245973402205795,17,31
50,12,0.571727206151958,0.027753689168937244,0,28
50,13,0.03180391836867205,0.7187699236325473,59,1
50,14,0.0019089149903666039,0.08651742507017847,27,24
50,15,0.0,0.0865465791769448,18,16
50,16,0.00843114325620085,0.5765868709328134,16,0
50,17,0.00843114325620085,0.4418590166205108,14,9
50,18,0.00843114325620085,0.4377502857857833,38,11
50,19,0.5745343298855471,0.09454653472254232,2,8
100,0,0.25709924215378394,0.20322121875276863,24,14
100,1,0.04605600525440961,0.2616591466544389,34,0
100,2,0.028807750562397445,0.2662300803703276,47,9
100,3,0.028807750562397445,0.2489172731372195,17,2
100,4,1.1205666751828186e-05,0.0019089149903666039,51,18
100,5,0.04605600525440961,0.20548587973141774,10,12
100,6,0.254683457084683,0.08754994674544776,4,13
100,7,0.0010901144201372044,0.2573082495211286,41,8
100,8,0.028807750562397445,0.17520142589028984,47,11
100,9,0.25860194735087627,0.3519613913636412,4,3
100,10,0.0,0.0,50,15
100,11,0.0019089149903666039,0.43779577793731084,27,0
100,12,0.028807750562397445,0.08716090172764868,34,16
100,13,0.04605600525440961,0.4418585121091912,10,0
100,14,0.00843114325620085,0.2606652861376095,55,0
100,15,0.0019089149903666039,0.13760775620455118,17,17
100,16,0.0019089149903666039,0.4899075081071899,27,0
100,17,0.2459063281816524,0.2143550109593567,17,2
100,18,0.00843114325620085,0.09090838538083626,20,21
100,19,0.0288196655594527,0.23305019974823477,45,0
200,0,0.21936834943108774,0.09570802593177591,17,18
200,1,0.21936834943108774,0.08793820847298976,48,9
200,2,0.22094429174748495,0.15195523660385366,10,14
200,3,0.21936834943108774,0.047032720148464664,48,21
200,4,0.03459752940570565,0.19470110986767136,14,6
200,5,0.21936834943108774,0.17347634892525723,17,0
200,6,0.21936834943108774,0.44186519035508554,17,0
200,7,0.44156647513558034,0.258987744560082,17,2
200,8,0.21936834943108774,0.21623265798391336,39,0
200,9,0.02500226606186358,0.2028920344462811,47,47
200,10,0.21936834943108774,0.25874513481869527,48,7
200,11,0.22094429174748495,0.2572933768128074,20,1
200,12,0.21936834943108774,0.24579676268956302,34,6
200,13,0.21936834943108774,0.04605600525440961,48,41
200,14,0.21936834943108774,0.060877020901803455,27,27
200,15,0.21936834943108774,0.17443068594265151,17,11
200,16,0.21936834943108774,0.21463490016477554,48,2
200,17,0.21936834943108774,0.1843677006137117,17,2
200,18,0.22094429174748495,0.030772325783217022,27,33
200,19,0.03459752940570565,0.13760355278676473,36,7
500,0,0.05333752509297298,0.09854006679466458,40,40
500,1,0.05333752509297298,0.26102629609496314,30,1
500,2,0.05333752509297298,0.032653655063717014,45,47
500,3,0.05333752509297298,0.02656129590544478,30,58
500,4,0.05333752509297298,0.02898767418727563,30,39
500,5,0.05333752509297298,0.2036958620671742,40,12
500,6,0.00843114325620085,0.18120736170503482,75,25
500,7,0.07669185877926345,0.14457530674911723,10,3
500,8,0.05333752509297298,0.22932484799094593,40,4
500,9,0.05333752509297298,0.0042290433478042715,40,32
500,10,0.05333752509297298,0.2570526437975059,30,27
500,11,0.05333752509297298,0.2573109269385736,45,6
500,12,0.053358619148893144,0.18117149071814567,34,0
500,13,0.00843114325620085,0.026403311089177924,55,48
500,14,0.00843114325620085,0.12409836227243283,50,26
500,15,0.07669185877926345,0.00859474424439,25,37
500,16,0.05333752509297298,0.00843114325620085,34,12
500,17,0.05333752509297298,0.1432932479824837,30,16
500,18,0.05333752509297298,0.254683457084683,24,13
500,19,0.05333752509297298,0.023120582794106958,30,20
1000,0,0.09027248102355541,0.0901714656497476,30,32
1000,1,0.09027248102355541,0.0010901144201372044,34,78
1000,2,0.09027248102355541,0.027248936253920785,30,61
1000,3,0.09027248102355541,0.05724540690865747,34,57
1000,4,0.09027248102355541,0.00843114325620085,40,10
1000,5,0.09027248102355541,0.20305379635522228,34,32
1000,6,0.09027248102355541,0.00843114325620085,34,51
1000,7,0.09027248102355541,0.00843114325620085,27,45
1000,8,0.004208509164116212,0.03570855184030517,27,57
1000,9,0.09027248102355541,0.03387560996536173,40,49
1000,10,0.09027248102355541,0.035278090060788074,17,37
1000,11,0.09027248102355541,0.1606893399426883,34,7
1000,12,0.09027248102355541,0.01400919632418485,30,28
1000,13,0.09027248102355541,0.03473233043862775,30,49
1000,14,0.09027248102355541,0.0019973785359983154,30,79
1000,15,0.09027248102355541,0.08796296863423564,40,10
1000,16,0.09027248102355541,0.25711130407260213,30,7
1000,17,0.09027248102355541,0.1262707099059433,30,24
1000,18,0.10133955002777585,0.262527872830886,27,0
1000,19,0.09027248102355541,0.08758838134759413,30,19
