N,r2_law,r2_blackbox,lambda_ratio,top1_regret_law,top1_regret_law_pick,best_in_plateau_regret_law,n_tied_best_law,top100_overlap_law,top1_regret_blackbox,top1_regret_blackbox_pick,n_tied_best_blackbox,top100_overlap_blackbox,Lbudget,bb_rank_universe
50,0.8355520384588621,0.3627151068563872,2.3036041859422447,0.44185260078973654,0.44169547996605424,0.4415387184027884,6,0,0.6273777824900506,0.6273777824900506,1,0,10,279936
100,0.8735496133323625,0.7697122957585952,1.1349040649940894,0.13872085956010516,0.028807750562397445,0.0,36,17,0.4418672523791168,0.4418672523791168,1,3,10,279936
200,0.9354267413656181,0.8590453009665794,1.0889143335201252,0.13872085956010516,0.21936834943108774,0.0,36,27,0.29626626208712104,0.29626626208712104,1,2,10,279936
500,0.894846032022912,0.9061940658536369,0.9874772587259937,0.13872085956010516,0.05333752509297298,0.0,36,17,0.23279225050466557,0.23279225050466557,1,8,10,279936
1000,0.933634241437362,0.9702835304803766,0.9622282684476052,0.13872085956010516,0.09027248102355541,0.0,36,27,0.23945319381421576,0.23945319381421576,1,0,10,279936
