family,d_nom,d_eff_set,rep,eff_d_est
michaelis_menten,12,9,7,9.283
michaelis_menten,12,9,8,9.553
michaelis_menten,12,9,9,8.733
michaelis_menten,12,9,10,9.42
michaelis_menten,12,9,11,9.192
michaelis_menten,12,9,12,8.946
michaelis_menten,12,9,13,9.745
michaelis_menten,12,9,14,9.05
michaelis_menten,12,9,15,9.889
michaelis_menten,12,9,16,9.247
michaelis_menten,12,9,17,9.228
michaelis_menten,12,9,18,9.631
michaelis_menten,12,9,19,9.644
michaelis_menten,12,9,20,9.454
michaelis_menten,12,9,21,9.602
michaelis_menten,12,9,22,9.773
michaelis_menten,12,9,23,8.342
michaelis_menten,12,9,24,9.648
random_gp,12,2,0,1.785
random_gp,12,2,1,2.043
random_gp,12,2,2,1.269
random_gp,12,2,3,1.625
random_gp,12,2,4,1.377
random_gp,12,2,5,1.851
random_gp,12,2,6,1.27
random_gp,12,2,7,1.26
random_gp,12,2,8,1.974
random_gp,12,2,9,1.864
random_gp,12,2,10,1.129
random_gp,12,2,11,1.568
random_gp,12,2,12,1.673
random_gp,12,2,13,1.819
random_gp,12,2,14,1.04
random_gp,12,2,15,1.816
random_gp,12,2,16,2.044
random_gp,12,2,17,1.868
random_gp,12,2,18,1.946
random_gp,12,2,19,1.379
random_gp,12,2,20,1.415
random_gp,12,2,21,2.068
random_gp,12,2,22,1.968
random_gp,12,2,23,1.095
random_gp,12,2,24,2.072
random_gp,12,3,0,2.74
random_gp,12,3,1,2.577
random_gp,12,3,2,2.442
random_gp,12,3,3,2.584
random_gp,12,3,4,2.261
random_gp,12,3,5,2.093
random_gp,12,3,6,3.013
random_gp,12,3,7,2.871
random_gp,12,3,8,3.143
random_gp,12,3,9,2.612
random_gp,12,3,10,1.812
random_gp,12,3,11,1.988
random_gp,12,3,12,2.255
random_gp,12,3,13,2.385
random_gp,12,3,14,2.032
random_gp,12,3,15,3.021
random_gp,12,3,16,2.115
random_gp,12,3,17,2.493
random_gp,12,3,18,2.693
random_gp,12,3,19,2.378
random_gp,12,3,20,2.881
random_gp,12,3,21,2.311
random_gp,12,3,22,2.871
random_gp,12,3,23,2.405
random_gp,12,3,24,3.105
random_gp,12,5,0,4.594
random_gp,12,5,1,3.252
random_gp,12,5,2,4.768
random_gp,12,5,3,2.33
random_gp,12,5,4,3.743
random_gp,12,5,5,5.535
random_gp,12,5,6,5.735
random_gp,12,5,7,2.833
random_gp,12,5,8,3.537
random_gp,12,5,9,4.858
random_gp,12,5,10,3.111
random_gp,12,5,11,4.754
random_gp,12,5,12,5.016
random_gp,12,5,13,4.614
random_gp,12,5,14,4.784
random_gp,12,5,15,3.357
random_gp,12,5,16,4.187
random_gp,12,5,17,5.301
random_gp,12,5,18,3.264
random_gp,12,5,19,4.073
random_gp,12,5,20,3.725
random_gp,12,5,21,5.928
random_gp,12,5,22,5.547
random_gp,12,5,23,4.508
random_gp,12,5,24,2.975
random_gp,12,9,0,6.503
random_gp,12,9,1,8.665
random_gp,12,9,2,7.767
random_gp,12,9,3,6.683
random_gp,12,9,4,5.368
random_gp,12,9,5,8.762
random_gp,12,9,6,6.487
random_gp,12,9,7,10.527
random_gp,12,9,8,7.749
random_gp,12,9,9,8.737
random_gp,12,9,10,2.196
random_gp,12,9,11,8.735
random_gp,12,9,12,7.081
random_gp,12,9,13,7.826
random_gp,12,9,14,6.266
random_gp,12,9,15,5.678
random_gp,12,9,16,6.806
random_gp,12,9,17,9.231
random_gp,12,9,18,9.044
random_gp,12,9,19,8.134
random_gp,12,9,20,9.973
random_gp,12,9,21,7.72
random_gp,12,9,22,9.89
random_gp,12,9,23,7.1
random_gp,12,9,24,9.186
