family,d_nom,d_eff,rep,r2_law,top1_regret,n_terms,traj,depth_sel
michaelis_menten,20,3,14,0.9585472960283408,0.0819880554568221,2.0,t1,
michaelis_menten,20,3,15,0.9610962914185603,0.0,6.0,t1,
michaelis_menten,20,3,16,0.9738976801249764,0.0586944750706756,2.0,t1,
michaelis_menten,20,3,17,0.9669837684652448,0.0,7.0,t1,
michaelis_menten,20,3,18,0.9497585092396484,0.0295064165830192,2.0,t1,
michaelis_menten,20,3,19,0.9745873535991127,1.0,6.0,t1,
michaelis_menten,20,5,0,0.9486616133944484,0.0,10.0,t1,
michaelis_menten,20,5,1,0.9265707409982228,0.0,9.0,t1,
michaelis_menten,20,5,2,0.977792017323851,0.0251441174350712,8.0,t1,
michaelis_menten,20,5,3,0.9690770801183084,0.1029905380630769,8.0,t1,
michaelis_menten,20,5,4,0.907515526252161,0.0,9.0,t1,
michaelis_menten,20,5,5,0.9450444071711404,0.0,9.0,t1,
michaelis_menten,20,5,6,0.9671813033227344,0.0,10.0,t1,
michaelis_menten,20,5,7,0.9331757660130164,0.1136351136931139,2.0,t1,
michaelis_menten,20,5,8,0.9512854795100624,0.0,10.0,t1,
michaelis_menten,20,5,9,0.940954309183876,0.0,8.0,t1,
michaelis_menten,20,5,10,0.9291716303640276,0.0015992225008187,10.0,t1,
michaelis_menten,20,5,11,0.9599952503137276,0.0,9.0,t1,
michaelis_menten,20,5,12,0.9542702413498092,0.0810188142654603,8.0,t1,
michaelis_menten,20,5,13,0.9360919892219796,0.025629405607079,9.0,t1,
michaelis_menten,20,5,14,0.9675232354346688,0.0,10.0,t1,
michaelis_menten,20,5,15,0.9395677705325094,0.0,8.0,t1,
michaelis_menten,20,5,16,0.9309657781826036,0.0,9.0,t1,
michaelis_menten,20,5,17,0.9630857740752944,2.5818310274201077,7.0,t1,
michaelis_menten,20,5,18,0.9651342148130262,2.3541732556763324e-05,10.0,t1,
michaelis_menten,20,5,19,0.960849105858617,0.0,10.0,t1,
michaelis_menten,20,9,0,0.8615276161993104,0.0,10.0,t1,
michaelis_menten,20,9,1,0.8211521538691124,0.0,10.0,t1,
michaelis_menten,20,9,2,0.8723351328006073,0.0,10.0,t1,
michaelis_menten,20,9,3,0.820865897292459,0.0,10.0,t1,
michaelis_menten,20,9,4,0.8524388161906054,0.1133866598975895,8.0,t1,
michaelis_menten,20,9,5,0.8975764041008147,0.0,10.0,t1,
michaelis_menten,20,9,6,0.8492128290773929,0.1406195267448951,10.0,t1,
michaelis_menten,20,9,7,0.8490700890074079,0.0,10.0,t1,
michaelis_menten,20,9,8,0.8943185452381595,0.1262607715635982,10.0,t1,
michaelis_menten,20,9,9,0.8090888116061973,0.0,10.0,t1,
