traj,family,eta2_eff,eta2_nom
t1,additive_linear,0.8068157968546853,0.002598929084575819
t1,michaelis_menten,0.7741757819665872,0.004050256488284764
t1,random_gp,0.6629032140810227,0.013377385693163405
t2,additive_linear,0.795500608787255,0.0015348284443246515
t2,michaelis_menten,0.7292730883274222,0.0014057402031198499
t2,random_gp,0.5256789750575869,0.001565901931185586
t3,additive_linear,0.7878678226770259,0.003612451932650853
t3,michaelis_menten,0.7295126193242144,0.0026257644845991486
t3,random_gp,0.6697085280077131,0.007109157045628154
